week_day,hour,rout_count,temperature,visibility,humidity,distance
5,10,41,278,3200,100,668.1822117
1,19,18,277,10000,69,1529.874693
4,13,31,277,10000,88,1682.180498
2,16,18,273,4200,99,1.135261047
2,12,31,276,10000,69,3.37654841
5,16,63,285,10000,54,2446.284034
3,7,20,274,10000,55,55.31730817
5,9,18,278,1100,93,1510.879287
2,9,59,274,10000,74,130.3972173
3,10,11,275,10000,69,13.20112783
4,14,20,277,10000,55,921.3186159
4,17,128,280,10000,65,236.454899
5,18,128,283,10000,61,1171.795349
2,11,41,278,10000,60,459.874609
2,14,48,276,10000,59,36.0512966
2,10,12,277,10000,92,37.80237259
1,10,63,277,10000,93,830.3128112
2,10,48,277,10000,92,109.4914354
5,18,41,277,10000,44,1205.922581
5,16,11,278,10000,44,452.5263433
1,9,24,277,9000,93,24.71018274
2,11,26,279,10000,41,313.2670929
1,13,47,279,10000,60,174.7156426
1,14,18,281,10000,31,476.2994634
3,9,41,273,10000,80,73.95142848
1,10,31,279,9000,81,530.317378
4,18,22,277,10000,51,80.96784399
3,12,48,283,10000,29,350.2767598
4,16,41,278,10000,48,511.0446982
2,16,48,273,4200,99,824.106802
5,9,24,276,8000,86,620.7006711
5,15,12,286,10000,54,337.4708824
1,10,24,277,10000,93,56.01448071
3,15,22,285,10000,23,56.6136841
2,18,18,274,9000,99,222.9834329
4,18,41,280,10000,65,450.0531738
2,9,128,271,10000,79,273.5292702
1,15,20,281,10000,45,666.7568692
1,15,47,286,10000,47,964.2186165
1,16,20,282,10000,45,34.49823852
5,17,41,288,10000,19,456.6787195
5,11,26,277,10000,86,22.43327318
5,12,41,275,10000,47,367.5721021
4,11,41,282,10000,34,10.70371803
3,12,47,276,10000,69,1149.864788
3,16,48,277,10000,64,18.92334604
2,16,48,278,10000,77,61.16839717
2,14,28,283,10000,25,20.27396579
1,17,47,278,10000,60,1102.627384
2,11,128,275,10000,74,355.7826036
5,15,46,286,10000,54,2847.491299
1,12,48,279,10000,82,13.46408798
3,9,128,275,10000,51,10.18377451
5,11,31,279,7000,93,752.5081655
1,18,41,282,10000,24,1264.5118
5,15,41,277,10000,44,478.190453
2,7,22,277,10000,69,359.2526163
1,14,47,281,10000,85,1740.230276
4,10,95,274,10000,74,196.4544868
2,12,48,276,10000,69,6.919865062
3,15,59,285,10000,23,2.220349704
2,15,31,273,550,73,13.97968601
4,8,12,275,10000,51,2477.487326
4,14,47,277,10000,55,99.29043136
4,12,47,276,10000,100,625.9517533
3,14,95,285,10000,23,492.0753471
2,14,11,279,10000,60,3129.982877
5,19,34,287,10000,20,355.4701346
4,13,48,277,10000,88,371.0536618
4,19,47,276,10000,55,1136.447709
1,18,26,282,10000,24,3113.515385
2,8,11,268,10000,85,806.2947471
5,14,18,277,10000,44,1465.55873
3,18,128,280,10000,48,223.0123102
2,16,22,273,4200,99,1154.735749
3,19,12,276,10000,74,3487.835922
4,16,41,279,10000,71,144.503312
4,9,34,275,10000,93,338.5402842
1,12,95,283,9000,57,285.1244294
5,14,22,288,10000,22,364.9968254
3,13,41,279,10000,52,666.3853661
1,12,22,279,10000,82,119.4507896
5,13,18,278,10000,80,9.567292767
4,19,28,276,10000,55,312.8153939
1,14,18,280,10000,52,15.86413995
1,8,18,275,8000,93,1413.749535
3,12,24,279,10000,60,688.8844803
3,8,41,271,10000,86,46.32686907
2,11,34,278,10000,60,500.1160231
4,7,41,275,10000,74,335.8165714
1,19,24,277,10000,69,793.0511649
4,19,18,286,10000,24,266.2406396
4,9,34,276,10000,47,17.64622221
1,11,22,277,10000,64,72.2915931
1,17,11,282,10000,24,425.5096748
2,19,41,274,10000,93,509.2535569
4,12,47,284,10000,27,1150.187671
3,13,11,284,10000,25,185.545715
3,15,46,279,10000,48,536.2521885
3,9,47,274,10000,86,256.7833624
4,12,11,276,10000,100,197.7176816
3,16,26,279,10000,48,992.4893082
3,14,46,279,10000,52,15.61736148
5,18,28,283,10000,61,40.77070399
3,10,47,275,10000,69,88.6153756
5,10,12,278,3200,100,27.92502062
4,15,18,279,10000,70,110.6891022
5,10,12,276,9000,93,78.59576297
1,9,48,277,9000,86,32.82812637
4,18,26,277,10000,51,467.3469561
4,10,41,279,10000,38,698.7638882
4,16,48,279,10000,71,8.98932506
4,13,24,285,10000,23,6.789035501
1,16,26,285,10000,46,165.5299217
2,14,26,279,10000,60,1.263031992
5,19,41,277,10000,93,23.27348075
3,18,34,277,10000,69,564.316709
2,11,18,279,10000,41,556.6055145
3,14,12,276,10000,64,1058.33287
2,9,46,274,10000,74,1914.587867
5,7,41,270,10000,73,342.1669252
1,16,95,285,10000,46,201.6824829
1,7,63,275,10000,86,574.987794
2,9,24,277,10000,88,452.4638612
3,16,24,279,10000,48,2242.430292
5,13,28,287,10000,22,11.63993477
5,13,128,278,10000,80,155.9298325
1,18,48,284,10000,53,560.5626205
4,15,34,279,10000,70,835.5377902
1,12,18,280,10000,81,204.4508512
5,15,12,277,10000,44,1402.182527
3,12,22,276,10000,69,2.816236053
5,8,48,277,1200,100,19.64403792
2,12,63,281,10000,36,581.048333
2,11,18,278,10000,60,490.6460836
1,19,12,277,10000,69,18.5221175
4,10,12,279,10000,38,144.9324061
4,12,59,276,10000,100,231.1871386
3,14,41,276,10000,64,206.8258449
5,18,12,287,10000,20,1010.13021
4,19,18,279,10000,70,1541.053732
5,19,11,282,10000,66,1.982307219
5,19,28,282,10000,66,1.223155752
3,11,34,276,10000,74,188.063854
2,16,46,273,4200,99,621.4044302
2,17,128,278,10000,77,328.2852721
2,14,47,283,10000,25,15.68531094
2,18,95,277,10000,69,236.5285848
1,11,12,278,10000,82,1059.589385
1,13,95,283,10000,61,1.436631746
1,16,20,285,10000,46,348.7172897
2,12,34,277,10000,92,29.96257871
2,17,128,278,10000,41,448.1473408
1,10,47,275,10000,80,769.1357286
1,8,18,276,10000,86,160.8454436
2,19,63,274,10000,93,2462.816679
1,18,48,278,10000,68,1362.722245
1,11,22,278,10000,82,139.3066083
4,18,18,277,10000,51,37.85502598
5,12,47,275,10000,47,156.1210903
4,12,31,284,10000,27,1504.597809
5,11,48,274,10000,50,1490.686915
1,11,128,277,10000,93,156.8062729
5,15,28,277,10000,44,279.0394376
5,9,18,275,10000,64,11.0773669
4,14,95,278,10000,88,247.6013401
3,12,34,279,10000,60,239.4654776
5,8,26,270,10000,79,368.9089179
3,18,11,280,10000,48,398.1058491
1,17,22,282,10000,45,158.5011259
4,18,34,286,10000,24,98.12434509
3,8,47,274,10000,50,861.3943373
5,16,18,285,10000,54,1744.111464
3,18,18,277,10000,69,245.7272874
4,12,18,284,10000,27,345.6444662
2,12,22,281,10000,36,59.05463926
1,11,12,277,10000,93,84.24976842
4,16,28,279,10000,71,68.31674913
3,16,59,277,10000,64,666.3866983
3,8,34,274,10000,50,705.2023666
5,17,12,284,10000,57,805.3863355
2,19,63,277,10000,69,1961.127621
1,13,63,283,10000,61,681.1978498
1,12,18,279,10000,82,171.962891
3,18,95,277,10000,69,15.47794772
5,19,46,277,10000,48,1903.218501
5,13,18,283,10000,76,2.158604059
5,19,95,277,10000,93,539.3405375
5,17,41,277,10000,44,1118.12463
3,10,47,279,10000,38,97.69132775
1,16,31,282,10000,45,26.87222385
1,14,31,280,10000,52,508.7109427
1,12,18,279,10000,48,271.9878725
4,15,128,286,10000,22,426.3558713
4,16,22,278,10000,48,1039.287967
5,10,24,278,3200,100,298.6308521
4,10,34,274,10000,74,176.0661037
5,10,47,279,10000,41,103.3492269
5,15,24,286,10000,54,919.9408787
3,9,22,274,10000,86,108.0777389
3,14,46,285,10000,23,1298.524487
4,8,95,274,10000,80,46.50192163
5,9,128,278,1100,93,1675.070449
5,8,34,270,10000,79,259.7310387
5,19,46,277,10000,93,1115.576043
3,13,41,284,10000,25,209.0598777
4,17,128,277,10000,51,8.109052842
5,9,47,272,10000,63,782.3578743
3,11,28,276,10000,74,65.00947112
5,16,20,285,10000,54,733.625266
3,16,26,279,10000,48,127.6824348
1,16,41,285,10000,46,341.3589897
5,12,95,281,10000,87,197.0758921
4,19,63,276,10000,55,3602.219121
1,9,41,273,10000,57,9.074146013
5,11,48,279,7000,93,82.87150071
1,16,128,285,10000,46,21.57768847
1,19,31,281,10000,61,14.02731272
2,16,48,278,10000,77,42.4573112
1,10,28,279,9000,81,10.73398784
1,17,26,282,10000,45,1509.880912
2,10,41,277,10000,92,178.9030439
3,14,24,276,10000,64,346.2697289
5,19,18,277,10000,93,40.71695134
3,8,59,274,10000,50,1427.559134
3,8,41,274,10000,50,22.06668845
3,7,59,274,10000,86,825.1998805
1,9,48,277,9000,86,132.2263656
2,9,18,277,10000,88,251.415879
1,16,47,280,10000,56,284.285331
4,17,63,277,10000,51,2548.329948
2,19,41,278,10000,48,160.960495
3,15,28,285,10000,23,136.8104605
1,12,20,279,10000,82,6.00573631
3,14,31,285,10000,23,0.697629116
1,11,31,277,10000,64,416.8050982
1,16,18,280,10000,56,43.49217996
5,9,12,275,10000,64,279.9514292
1,17,48,282,10000,45,674.5517022
5,18,18,287,10000,20,627.0186518
5,10,59,279,10000,41,59.86549433
4,16,18,287,10000,22,3.462211051
1,15,46,286,10000,47,1958.016558
4,18,48,280,10000,65,342.7312311
1,19,18,277,10000,69,192.802465
2,12,59,277,10000,92,3.870287502
1,9,48,277,9000,93,597.0502478
5,18,24,283,10000,61,214.2047073
5,18,12,277,10000,44,2514.059244
2,9,12,271,10000,79,393.882261
1,18,47,278,10000,68,2939.308714
2,9,41,277,10000,88,229.4090997
1,8,11,276,10000,86,374.9290361
1,13,18,281,10000,65,14.93232953
4,11,48,276,10000,100,21.86935096
3,12,24,276,10000,69,155.0837469
1,18,47,278,10000,68,4663.004154
4,9,63,275,10000,93,746.7550679
5,10,20,273,10000,75,460.5629507
3,9,63,274,10000,86,1771.157494
4,10,18,279,10000,38,109.3005468
5,18,24,277,10000,44,808.9628764
4,13,41,277,10000,88,375.3352701
5,10,12,279,10000,41,192.6919963
1,15,11,282,10000,26,1360.788208
4,9,128,276,10000,47,8.127370882
1,11,12,277,10000,93,15.29784457
4,12,20,284,10000,27,169.3809344
2,17,63,278,10000,77,793.2774302
4,12,128,284,10000,27,545.2625018
2,14,12,277,10000,51,2036.735019
1,12,22,279,10000,48,160.0063969
1,15,18,281,10000,45,71.62187169
2,15,48,277,10000,80,14.68155276
3,12,18,276,10000,69,33.75720854
1,17,18,286,10000,43,322.2202891
2,11,18,274,10000,74,1338.925752
5,11,59,274,10000,50,2321.817619
4,16,47,287,10000,22,94.29536583
4,9,18,276,10000,47,1.957141306
3,17,41,286,10000,24,1283.160159
5,18,12,283,10000,61,1495.98742
1,19,20,277,10000,69,22.154327
5,9,34,275,10000,64,37.14955406
2,11,24,274,10000,74,11.60348597
5,12,47,285,10000,27,247.5539609
2,14,47,277,10000,51,91.1247326
1,8,59,277,10000,93,2140.004015
5,15,18,286,10000,54,2028.208715
4,17,11,286,10000,24,552.5808248
3,7,59,274,10000,86,1222.014982
2,17,48,278,10000,77,225.7996697
1,13,59,279,10000,60,565.7300908
3,11,31,275,10000,69,657.240037
4,17,47,286,10000,24,578.5086845
1,14,18,280,10000,52,141.2749518
1,18,47,284,10000,53,19.76638626
5,14,48,277,10000,44,164.9741948
3,11,20,275,10000,69,2938.931837
3,14,11,279,10000,52,440.7345315
4,15,18,279,10000,70,82.12666014
2,7,34,277,10000,69,324.7412121
5,12,41,285,10000,27,669.6003074
5,16,48,278,10000,44,114.0490653
4,7,18,274,10000,83,3.962340497
2,17,47,274,10000,99,3047.885114
5,19,47,282,10000,66,48.13041717
5,17,47,284,10000,57,501.0752659
5,11,46,282,10000,34,1738.760636
4,17,18,286,10000,24,900.3426676
5,8,59,271,10000,68,1989.956706
2,14,48,283,10000,25,43.16915841
2,18,47,278,10000,44,509.0366851
4,19,41,286,10000,24,203.8594221
1,12,41,279,10000,82,9.580942516
3,10,18,275,10000,69,41.91304705
1,17,12,282,10000,45,851.6802047
2,12,18,276,10000,69,5.340057768
3,18,31,286,10000,24,381.9539407
1,12,24,279,10000,48,152.6915557
5,19,41,287,10000,20,25.27169786
4,16,12,287,10000,22,480.2895979
4,12,46,276,10000,100,726.5175436
2,16,46,278,10000,77,797.2907959
2,18,22,274,9000,99,171.4351694
2,16,41,278,10000,44,685.9921566
4,19,11,276,10000,55,398.9644461
3,9,31,274,10000,86,148.7474654
5,12,18,281,10000,87,6.234004248
3,17,41,280,10000,45,489.427003
2,9,41,271,10000,79,70.06179966
3,8,48,271,10000,86,13.80451945
1,17,48,282,10000,24,764.0914982
5,12,48,281,10000,87,25.65906344
2,18,34,278,10000,44,351.6676135
1,12,12,279,10000,82,168.9802436
5,15,48,277,10000,44,130.7781196
3,14,48,276,10000,64,992.4108505
1,15,63,281,10000,45,813.7136163
1,18,128,282,10000,24,1595.739242
5,9,41,275,10000,64,6.56496634
5,10,18,279,10000,41,37.82120281
1,15,46,286,10000,47,1097.041296
2,18,41,277,10000,69,1355.392229
1,16,46,282,10000,45,27.44287024
2,15,26,277,10000,80,386.6646509
3,7,18,274,10000,55,1448.770416
4,12,48,276,10000,100,31.886391
3,18,22,277,10000,69,315.1680604
2,8,59,268,10000,85,2425.450604
2,7,63,277,10000,69,596.0218259
1,15,41,282,10000,49,204.9458498
4,14,18,277,10000,55,378.1451678
4,13,34,285,10000,23,15.27278521
1,10,41,276,10000,82,268.068369
3,18,63,280,10000,48,210.2002349
3,18,11,280,10000,48,8.193086722
5,12,41,275,10000,47,1341.238853
4,13,18,277,10000,88,868.4766473
1,8,34,276,10000,86,108.0836178
5,17,28,284,10000,57,1006.5765
3,17,41,286,10000,24,541.2063088
5,10,24,273,10000,75,132.1362257
2,10,11,277,10000,92,9.572943299
1,16,41,282,10000,45,284.0865309
3,18,26,286,10000,24,39.93030998
2,11,63,274,10000,74,1167.056748
3,16,41,277,10000,64,725.6767926
4,10,48,279,10000,38,170.928651
3,13,48,284,10000,25,12.84927427
2,12,95,281,10000,36,245.1740601
2,17,12,278,10000,77,1989.297151
5,13,26,276,10000,47,505.2892329
1,16,22,280,10000,56,361.6718887
4,13,63,277,10000,88,71.25853837
1,12,20,279,10000,48,34.91386757
3,13,63,279,10000,52,2026.963993
2,17,41,278,10000,77,942.4538702
2,14,18,279,10000,60,295.266298
3,11,47,275,10000,69,142.8416949
4,14,26,277,10000,55,90.32553557
3,16,18,277,10000,55,260.9971461
3,19,31,285,10000,23,3.955510833
1,17,24,278,10000,60,839.3302127
3,13,20,279,10000,52,1.022484451
4,12,41,276,10000,100,108.8904971
5,8,22,271,10000,68,336.8537689
3,14,41,276,10000,64,573.455754
5,16,63,278,10000,44,2217.685375
5,10,63,278,3200,100,1968.742055
3,15,95,277,10000,60,492.2240116
2,18,20,277,10000,69,432.2355638
3,17,24,280,10000,45,334.11883
1,11,48,277,10000,64,731.3661568
5,8,128,270,10000,79,387.347359
1,14,63,281,10000,85,465.4563419
1,13,48,281,10000,65,128.9692791
1,17,28,282,10000,24,464.4110673
2,14,18,283,10000,25,449.1185869
1,11,63,277,10000,93,622.8432071
1,10,22,276,10000,82,140.0810775
2,15,12,278,10000,48,36.20870099
4,12,12,275,10000,69,1190.712521
1,10,31,276,10000,82,17.69620438
2,14,48,277,10000,51,248.5393228
1,9,18,277,9000,93,263.8101444
1,11,48,278,10000,82,256.3362394
5,12,41,278,10000,80,273.5893474
4,16,18,278,10000,48,36.3201656
5,17,48,277,10000,44,333.6912118
1,11,24,278,10000,82,651.3259374
3,12,12,283,10000,29,2592.26255
2,15,59,278,10000,48,494.2194387
5,15,24,277,10000,44,903.10002
5,16,34,288,10000,21,12.60102928
1,12,18,279,10000,48,26.89552345
4,13,48,276,10000,64,4.352553056
1,7,18,271,10000,86,418.1832095
5,18,59,287,10000,20,1397.176004
2,14,11,276,10000,59,5.825191513
2,12,26,281,10000,36,106.4471104
5,16,11,288,10000,21,1083.817595
4,19,41,276,10000,55,886.7088668
2,11,31,275,10000,74,1845.937625
4,19,47,286,10000,24,14.2659042
4,12,24,275,10000,69,7.877341801
2,16,63,278,10000,44,628.0132564
3,16,31,277,10000,55,399.7968872
2,18,18,278,10000,44,1042.018831
3,7,128,271,10000,79,324.6044279
5,18,46,277,10000,44,3345.011572
5,7,128,270,10000,73,330.0849116
5,9,20,272,10000,63,923.8638956
1,18,12,282,10000,24,187.0377887
5,15,48,286,10000,54,310.3438521
5,10,63,276,9000,93,548.6254935
1,16,41,280,10000,56,31.92607872
3,15,48,279,10000,48,720.7781116
3,16,26,286,10000,24,534.4855591
5,16,95,288,10000,21,508.1908936
3,7,48,274,10000,86,182.6788509
1,14,48,285,10000,54,156.3860147
1,14,34,280,10000,52,341.6401523
3,16,59,277,10000,64,545.3444471
1,10,31,277,10000,93,31.54710093
3,17,48,280,10000,45,393.8825356
5,10,12,278,3200,100,2266.758036
5,15,47,286,10000,54,414.8861085
5,18,46,283,10000,61,1533.793355
2,16,18,278,10000,44,18.6298277
1,12,34,279,10000,82,6.050589332
3,10,47,275,10000,69,626.8942404
3,11,11,276,10000,74,35.82735386
3,14,48,279,10000,52,185.0293098
2,16,41,278,10000,44,316.5017258
4,19,24,286,10000,24,145.5078487
2,13,34,275,10000,69,17.53144215
1,10,48,279,9000,81,10.90310302
4,14,31,277,10000,55,180.7720392
2,14,18,283,10000,25,1121.070487
5,8,12,270,10000,79,590.9057335
5,11,128,274,10000,50,822.0519872
3,11,26,275,10000,69,148.9493377
3,17,46,277,10000,64,1001.630617
4,7,48,274,10000,83,1379.82709
1,13,28,279,10000,60,3.568607622
2,10,11,274,10000,74,42.18418745
4,14,48,278,10000,88,39.4719689
1,14,41,281,10000,85,33.22572679
2,19,41,278,10000,48,188.0436052
4,13,48,276,10000,64,31.01203588
5,9,48,275,10000,64,143.6838443
4,14,28,278,10000,88,104.23057
3,19,48,285,10000,23,14.67080593
2,15,34,277,10000,80,181.9415109
5,18,28,277,10000,44,55.72354261
2,13,128,282,10000,31,150.6586987
4,9,18,275,10000,93,956.7687385
5,19,47,277,10000,93,36.69651461
3,16,18,286,10000,24,161.8679403
5,9,47,272,10000,63,2038.142327
4,16,18,287,10000,22,75.54291041
5,12,41,278,10000,80,540.613912
2,13,34,276,10000,64,19.17951489
1,10,26,275,10000,80,19.97232003
3,13,31,276,10000,69,220.4588544
4,10,95,279,10000,38,378.1045882
1,15,63,282,10000,49,461.2072855
5,9,48,276,8000,86,17.61427175
3,15,12,277,10000,60,501.0624591
5,8,48,277,1200,100,327.6638139
3,7,46,274,10000,55,7.215082645
2,13,41,276,10000,64,188.6104678
1,19,63,281,10000,61,214.195156
5,15,22,287,10000,20,184.776724
3,12,31,279,10000,60,2165.358733
4,15,22,279,10000,70,930.400407
5,12,20,278,10000,80,995.0595432
1,12,63,283,9000,57,62.02414442
1,17,59,278,10000,60,448.8436073
2,12,26,276,10000,69,3.011110603
4,15,24,286,10000,22,344.067786
1,8,41,277,10000,93,32.54411924
5,11,26,274,10000,50,123.6977789
5,11,47,282,10000,34,13.60757669
4,13,41,285,10000,23,983.8091163
5,11,46,277,10000,86,1566.192216
1,12,48,279,10000,48,199.3093722
2,19,41,274,10000,93,67.84998581
3,10,20,275,10000,88,3076.547089
4,15,47,286,10000,22,2594.460078
1,14,41,285,10000,54,40.69746785
2,17,28,274,10000,99,706.5751511
1,19,41,277,10000,69,178.7514437
3,11,24,276,10000,74,690.6274562
2,13,18,282,10000,31,30.47748371
2,14,28,277,10000,51,142.9634495
3,11,28,282,10000,29,354.453315
3,10,48,279,10000,38,85.62995475
5,13,48,287,10000,22,14.36380784
1,18,18,282,10000,24,1599.116444
4,17,18,280,10000,65,87.79929243
5,12,28,278,10000,80,420.4322403
4,12,18,275,10000,69,22.53308846
4,12,24,284,10000,27,51.59643923
1,9,41,277,9000,93,2090.564414
1,8,18,277,10000,93,38.02155721
5,14,18,285,10000,62,27.81555628
3,8,48,273,10000,80,80.1897619
3,18,128,277,10000,69,233.6712747
1,9,48,277,9000,86,735.886748
1,7,48,271,10000,86,58.60915025
3,18,24,277,10000,69,40.40219198
3,13,47,284,10000,25,32.4207865
2,16,18,278,10000,44,496.8897263
4,11,59,274,10000,74,22.58741979
2,12,12,276,10000,69,1981.337846
4,14,20,277,10000,55,854.493469
5,15,41,287,10000,20,319.7037464
2,16,31,278,10000,44,85.46544597
4,12,12,284,10000,27,847.222562
4,12,18,276,10000,100,1417.582233
5,19,24,287,10000,20,715.9542022
3,18,48,286,10000,24,301.8577191
4,17,24,280,10000,65,963.983357
3,15,95,279,10000,48,902.2369032
1,11,46,277,10000,64,2268.786122
3,17,11,280,10000,45,529.2343063
5,11,26,279,7000,93,52.64168693
5,13,41,276,10000,47,140.3572068
4,11,41,276,10000,100,808.8249549
1,15,47,281,10000,45,132.1548451
2,11,95,278,10000,60,1160.530633
1,16,128,280,10000,56,390.9029573
5,9,59,278,1100,93,1195.263914
4,12,47,284,10000,27,314.0749357
3,10,28,279,10000,38,129.0731876
1,15,18,281,10000,45,1716.595103
5,11,63,274,10000,50,674.876551
4,13,59,276,10000,64,556.4441675
3,7,48,271,10000,79,343.1805186
4,15,31,279,10000,70,21.56369143
1,7,63,271,10000,86,477.5842242
2,12,18,275,10000,69,522.6324822
4,10,31,274,10000,74,24.62432044
5,14,11,285,10000,62,416.3673096
5,16,41,288,10000,21,180.2683824
4,15,26,286,10000,22,130.4893872
5,8,95,270,10000,79,84.22216407
4,8,48,274,10000,80,19.76410632
2,9,34,277,10000,88,324.0742346
5,10,63,273,10000,75,7.837194913
1,10,48,279,9000,81,403.9780386
2,13,11,277,10000,64,216.0243892
4,17,28,286,10000,24,680.1656768
1,13,24,279,10000,60,20.55606804
3,14,28,285,10000,23,168.0521037
2,17,41,274,10000,99,950.2578808
3,7,24,274,10000,86,849.0450899
4,17,41,280,10000,65,366.7494694
4,19,34,286,10000,24,248.1572189
2,10,28,277,10000,92,608.2654716
1,13,11,279,10000,60,271.0155681
3,10,12,275,10000,69,341.9973846
1,14,41,285,10000,54,10.74405882
4,8,48,275,10000,51,1380.446979
3,7,59,274,10000,55,2466.898349
4,19,63,286,10000,24,727.833528
2,7,24,277,10000,69,753.406238
3,12,95,279,10000,60,243.9018065
3,19,41,279,10000,52,144.0103697
1,15,41,286,10000,47,1354.995331
4,17,22,286,10000,24,386.6372154
5,11,12,274,10000,50,1074.569263
3,16,48,277,10000,64,50.11675652
3,16,48,277,10000,64,272.8169584
2,18,34,277,10000,69,128.6227899
1,9,63,277,9000,93,2455.798146
1,12,48,279,10000,48,443.4895917
3,16,18,286,10000,24,758.8566096
2,14,28,279,10000,60,77.39072852
4,18,41,280,10000,65,324.0380927
1,8,95,271,10000,86,913.5750551
1,10,18,277,10000,93,501.3428731
4,17,18,277,10000,51,299.1720795
5,19,63,287,10000,20,200.5389469
3,13,22,279,10000,52,349.1048446
5,15,47,279,10000,81,77.17638328
5,17,48,284,10000,57,257.8485686
1,15,26,282,10000,26,21.39606582
5,9,18,278,1100,93,988.4679874
3,12,20,283,10000,29,108.3519975
2,15,47,277,10000,80,81.97276797
2,17,18,274,10000,99,142.3588268
3,8,28,274,10000,50,42.46251167
1,18,46,282,10000,24,3661.903408
3,14,24,285,10000,23,334.6666929
3,12,63,283,10000,29,2250.880635
2,17,20,274,10000,99,1914.537883
3,17,31,280,10000,45,744.7864058
1,19,31,277,10000,69,500.9491989
1,17,59,282,10000,45,10.64080287
2,12,95,276,10000,69,175.2756292
3,9,41,275,10000,51,20.17659868
5,13,12,283,10000,76,1347.020155
1,15,48,286,10000,47,378.490091
2,11,12,275,10000,74,502.6897897
1,17,46,278,10000,60,2059.327308
4,12,20,275,10000,69,1050.578724
1,8,18,275,8000,93,700.6119573
3,10,46,275,10000,69,506.1959169
3,9,46,273,10000,80,124.4213192
1,17,11,282,10000,45,453.2750897
3,19,24,285,10000,23,842.0805192
2,14,48,276,10000,59,46.37431401
1,8,31,271,10000,86,18.86132871
1,7,46,275,10000,86,382.5583426
3,18,59,280,10000,48,541.5616672
1,13,18,281,10000,65,709.5978907
1,9,12,277,9000,86,2341.365022
2,12,26,276,10000,69,438.6883181
2,14,47,279,10000,60,73.77614964
1,9,18,276,10000,86,60.38735726
5,14,26,277,10000,44,510.7768716
1,9,11,273,10000,57,4.985685147
3,15,18,285,10000,23,6.367038022
5,9,48,278,1100,93,272.049168
3,9,24,274,10000,86,1.352619789
2,9,12,277,10000,88,160.232391
